ID,Image,TrialType,Mean,Median
43,5,1,81.8,96
44,1,1,73.1875,81.5
44,2,1,70.6875,82.5
44,3,1,78.3125,97
44,4,1,72.0625,83
44,5,1,75.75,76
45,1,1,87.33333333,95
45,2,1,80.86666667,97
45,3,1,74.26666667,84
45,4,1,87.46666667,100
45,5,1,72.13333333,78
46,1,1,86.4375,97
46,2,1,87.4375,99.5
46,3,1,81.875,95
46,4,1,74.125,81.5
46,5,1,82.875,84.5
47,1,1,61.8125,66
47,2,1,78.6875,80
47,3,1,84.9375,95.5
47,4,1,79.6875,82.5
47,5,1,75.3125,87
48,1,1,82.13333333,100
48,2,1,88.93333333,98
48,3,1,87.33333333,100
48,4,1,83.26666667,100
48,5,1,85.33333333,100
49,1,1,61,74.5
49,2,1,79.3125,97
49,3,1,75.375,82.5
49,4,1,51,46
49,5,1,74.5,83
50,1,1,82.30769231,97
50,2,1,77.92307692,94
50,3,1,71.46153846,84
50,4,1,41.76923077,42
50,5,1,77.46153846,80
51,1,1,39.625,34
51,2,1,74.125,83.5
51,3,1,55.125,64.5
51,4,1,62.125,65.5
51,5,1,68.8125,88.5
52,1,1,60.92307692,77
52,2,1,64.30769231,72
52,3,1,80.84615385,96
52,4,1,63.38461538,70
52,5,1,50.84615385,55
53,1,1,79,100
53,2,1,92.8,100
53,3,1,86.46666667,100
53,4,1,88.2,100
53,5,1,90.4,100
54,1,1,80.13333333,93
54,2,1,68.13333333,81
54,3,1,84.86666667,95
54,4,1,79.66666667,89
54,5,1,82.33333333,94
55,1,1,48.26666667,43
55,2,1,31.46666667,22
55,3,1,53.73333333,63
55,4,1,53.66666667,55
55,5,1,47.66666667,54
56,1,1,55.375,63.5
56,2,1,82.5625,97.5
56,3,1,86.125,98
56,4,1,92.25,100
56,5,1,74.4375,90.5
57,1,1,61.3125,73
57,2,1,78.5,80
57,3,1,78.5,87.5
57,4,1,85.25,93
57,5,1,78.5,90.5
58,1,1,78,88.5
58,2,1,72.375,83.5
58,3,1,81.1875,94
58,4,1,86.625,100
58,5,1,68.75,80.5
59,1,1,74.375,88
59,2,1,88.3125,97.5
59,3,1,78.9375,100
59,4,1,81.3125,100
59,5,1,79.75,93.5
60,1,0,69.13333333,88
60,2,0,66.46666667,87
60,3,0,81.33333333,88
60,4,0,74.2,79
60,5,0,68.93333333,85
61,1,1,67.4,85
61,2,1,53.7,44
61,3,1,61.3,82
61,4,1,50.8,57
61,5,1,57.0,65
62,1,1,84.4,93.5
